Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio,Fitness_Score1,Fitness_Score2,Fitness_Score3,Fitness Score_4
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹7.5 Lac,₹980/month,"₹11,762 / Year",99.80 % claim settlement ratio,64,63,62,65
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹7.5 Lac,"₹1,011/month","₹12,132 / Year",99.80 % claim settlement ratio,57,56,55,58
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹7.5 Lac,₹977/month,"₹11,726 / Year",99.80 % claim settlement ratio,86,85,84,87
Reliance,Health Gain Power,15,₹10 Lac,₹756/month,"₹9,071 / Year",99.90 % claim settlement ratio,87,86,85,88
Reliance,Health Infinity With More Time,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,56,55,54,57
Reliance,Health Infinity With More Global,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,75,74,73,76
Reliance,Health Infinity With More Cover,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,44,43,42,45
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio,67,66,65,68
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio,87,86,85,88
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio,34,33,32,35
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio,56,55,54,57
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio,98,97,96,99
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio,45,44,43,46
Cholamandalam MS,Flexi Health Supreme Plus,16,₹7.5 Lac,"₹1,009/month","₹12,112 / Year",94 % claim settlement ratio,69,68,67,70
Cholamandalam MS,Flexi Health Individual,16,₹7.5 Lac,₹998/month,"₹11,970 / Year",94 % claim settlement ratio,90,89,88,91
New India Assurance,New India Mediclaim 2012,16,₹8 Lac,"₹1,119/month","₹13,428 / Year",98 % claim settlement ratio,58,57,56,59
Royal Sundaram,Lifeline Supreme,15,₹7.5 Lac,₹957/month,"₹11,480 / Year",92 % claim settlement ratio,68,67,66,69
Zuno,Zuno Gold + Health 241,10,₹7.5 Lac,"₹1,426/month","₹17,109 / Year",95 % claim settlement ratio,90,89,88,91
Universal Sompo,A Plus Silver,20,₹7.5 Lac,₹762/month,"₹9,145 / Year",96 % claim settlement ratio,45,44,43,46
Universal Sompo,A Plus Gold,20,₹7.5 Lac,₹808/month,"₹9,700 / Year",96 % claim settlement ratio,71,70,69,72
Universal Sompo,A Plus Diamond,20,₹7.5 Lac,₹986/month,"₹11,835 / Year",96 % claim settlement ratio,81,80,79,82
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹7 Lac,₹976/month,"₹11,717 / Year",96 % claim settlement ratio,77,76,75,78
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹7 Lac,₹875/month,"₹10,502 / Year",96 % claim settlement ratio,88,87,86,89
Universal Sompo,A Plus Silver + Non medical items,20,₹7.5 Lac,₹799/month,"₹9,582 / Year",96 % claim settlement ratio,82,81,80,83
Universal Sompo,A Plus Gold + Non medical items,20,₹7.5 Lac,₹845/month,"₹10,136 / Year",96 % claim settlement ratio,59,58,57,60
Universal Sompo,A Plus Diamond + Non medical items,20,₹7.5 Lac,"₹1,023/month","₹12,272 / Year",96 % claim settlement ratio,95,94,93,96
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹7.5 Lac,₹941/month,"₹11,293 / Year",96 % claim settlement ratio,80,79,78,81
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹7.5 Lac,"₹1,077/month","₹12,921 / Year",96 % claim settlement ratio,87,86,85,88
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹7.5 Lac,"₹1,165/month","₹13,983 / Year",96 % claim settlement ratio,67,66,65,68
IFFCO Tokio,Individual Health Protector,12,₹7 Lac,"₹1,082/month","₹12,985 / Year",98.90 % claim settlement ratio,66,65,64,67
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹7.5 Lac,₹807/month,"₹9,680 / Year",90 % claim settlement ratio,89,88,87,90
Care Health,Care Supreme VFM Discounted,15,₹10 Lac,₹672/month,"₹8,061 / Year",93 % claim settlement ratio,65,64,63,66
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹10 Lac,₹839/month,"₹10,063 / Year",93 % claim settlement ratio,56,55,54,57
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹10 Lac,₹864/month,"₹2,593 for 3 months",93 % claim settlement ratio,77,76,75,78
Care Health,Care Heart,15,₹10 Lac,"₹1,347/month","₹16,161 / Year",93 % claim settlement ratio,45,44,43,46
Care Health,Care with Care Shield,15,₹10 Lac,"₹1,481/month","₹17,775 / Year",93 % claim settlement ratio,78,77,76,79
Star Health,Young Star Silver,16,₹10 Lac,₹814/month,"₹9,767 / Year",85.80 % claim settlement ratio,72,71,70,73
Star Health,Young Star Gold,16,₹10 Lac,₹926/month,"₹11,117 / Year",85.80 % claim settlement ratio,96,95,94,97
Star Health,Assure Insurance Policy,16,₹10 Lac,₹922/month,"₹11,059 / Year",85.80 % claim settlement ratio,58,57,56,59
Star Health,Comprehensive Individual,16,₹10 Lac,"₹1,158/month","₹13,895 / Year",85.80 % claim settlement ratio,40,39,38,41
Star Health,Mediclassic Individual Gold,16,₹10 Lac,"₹1,149/month","₹13,792 / Year",85.80 % claim settlement ratio,63,62,61,64
Star Health,Mediclassic Individual Silver,16,₹10 Lac,"₹1,074/month","₹12,889 / Year",85.80 % claim settlement ratio,91,90,89,92
Star Health,Comprehensive with PED Buy Back,16,₹10 Lac,"₹1,505/month","₹18,063 / Year",85.80 % claim settlement ratio,99,98,97,100
Star Health,Diabetes Safe Plan-A,16,₹10 Lac,"₹2,121/month","₹25,448 / Year",85.80 % claim settlement ratio,35,34,33,36
Star Health,Diabetes Safe Plan-B,16,₹10 Lac,"₹2,305/month","₹27,660 / Year",85.80 % claim settlement ratio,100,99,98,100
Star Health,Arogya Sanjivini Individual,16,₹10 Lac,₹713/month,"₹8,555 / Year",85.80 % claim settlement ratio,94,93,92,95
Star Health,Smart Health Pro,16,₹10 Lac,₹761/month,"₹9,137 / Year",85.80 % claim settlement ratio,83,82,81,84
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹10 Lac,"₹1,072/month","₹12,868 / Year",92 % claim settlement ratio,92,91,90,93
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹10 Lac,"₹1,101/month","₹13,213 / Year",92 % claim settlement ratio,82,81,80,83
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹10 Lac,₹984/month,"₹11,810 / Year",92 % claim settlement ratio,91,90,89,92
Niva Bupa,Aspire Gold + (Direct),16,₹10 Lac,₹746/month,"₹8,950 / Year",92 % claim settlement ratio,70,69,68,71
Niva Bupa,Aspire Diamond + (Direct),16,₹10 Lac,₹847/month,"₹10,169 / Year",92 % claim settlement ratio,74,73,72,75
Niva Bupa,Aspire Platinum + (Direct),16,₹10 Lac,₹964/month,"₹11,562 / Year",92 % claim settlement ratio,79,78,77,80
Niva Bupa,Aspire Titanium + (Direct),16,₹10 Lac,₹969/month,"₹11,632 / Year",92 % claim settlement ratio,74,73,72,75
Niva Bupa,Health Companion,16,₹10 Lac,"₹1,000/month","₹11,999 / Year",92 % claim settlement ratio,76,75,74,77
Niva Bupa,Health Companion + Safeguard,16,₹10 Lac,"₹1,365/month","₹16,383 / Year",92 % claim settlement ratio,77,76,75,78
Niva Bupa,Health Premia Gold,16,₹10 Lac,"₹1,840/month","₹22,081 / Year",92 % claim settlement ratio,80,79,78,81
Niva Bupa,Health Pulse,16,₹10 Lac,₹732/month,"₹8,778 / Year",92 % claim settlement ratio,72,71,70,73
Aditya Birla,Activ One Max,14,₹10 Lac,₹773/month,"₹9,281 / Year",96 % claim settlement ratio,54,53,52,55
Aditya Birla,Active Health Platinum - Enhanced,14,₹10 Lac,₹880/month,"₹10,557 / Year",96 % claim settlement ratio,59,58,57,60
Aditya Birla,Active Health Platinum Essential - Waiver of mandatory co-payment,14,₹10 Lac,₹855/month,"₹10,259 / Year",96 % claim settlement ratio,61,60,59,62
ICICI Lombard,Elevate + BeFit,12,₹10 Lac,₹845/month,"₹10,142 / Year",99.80 % claim settlement ratio,64,63,62,65
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹10 Lac,"₹1,089/month","₹13,071 / Year",99.80 % claim settlement ratio,100,99,98,100
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹10 Lac,"₹1,123/month","₹13,479 / Year",99.80 % claim settlement ratio,97,96,95,98
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹10 Lac,"₹1,154/month","₹13,850 / Year",99.80 % claim settlement ratio,99,98,97,100
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹10 Lac,"₹1,120/month","₹13,442 / Year",99.80 % claim settlement ratio,39,38,37,40
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹10 Lac,"₹1,577/month","₹18,920 / Year",99.80 % claim settlement ratio,54,53,52,55
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹10 Lac,"₹1,611/month","₹19,328 / Year",99.80 % claim settlement ratio,76,75,74,77
Reliance,Health Gain Power,15,₹10 Lac,₹756/month,"₹9,071 / Year",99.90 % claim settlement ratio,50,49,48,51
Reliance,Health Infinity With More Time,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,66,65,64,67
Reliance,Health Infinity With More Global,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,39,38,37,40
Reliance,Health Infinity With More Cover,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,38,37,36,39
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio,74,73,72,75
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio,47,46,45,48
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio,58,57,56,59
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio,85,84,83,86
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio,69,68,67,70
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio,96,95,94,97
Cholamandalam MS,Flexi Health Supreme Plus,16,₹10 Lac,"₹1,112/month","₹13,342 / Year",94 % claim settlement ratio,84,83,82,85
Cholamandalam MS,Flexi Health Individual,16,₹10 Lac,"₹1,102/month","₹13,224 / Year",94 % claim settlement ratio,60,59,58,61
Kotak Mahindra,Kotak Health Premier – Total,16,₹10 Lac,₹918/month,"₹11,010 / Year",97 % claim settlement ratio,66,65,64,67
Kotak Mahindra,Kotak Health Premier – Edge,16,₹10 Lac,"₹1,023/month","₹12,274 / Year",97 % claim settlement ratio,45,44,43,46
Kotak Mahindra,Kotak Health Premier – Elite,16,₹10 Lac,"₹1,157/month","₹13,880 / Year",97 % claim settlement ratio,33,32,31,34
New India Assurance,New India Mediclaim 2012,16,₹10 Lac,"₹1,265/month","₹15,177 / Year",98 % claim settlement ratio,44,43,42,45
Royal Sundaram,Lifeline Supreme,15,₹10 Lac,"₹1,043/month","₹12,510 / Year",92 % claim settlement ratio,46,45,44,47
Zuno,Zuno Gold + Health 241,10,₹10 Lac,"₹1,549/month","₹18,584 / Year",95 % claim settlement ratio,49,48,47,50
Universal Sompo,A Plus Silver,20,₹10 Lac,"₹1,028/month","₹12,331 / Year",96 % claim settlement ratio,45,44,43,46
Universal Sompo,A Plus Gold,20,₹10 Lac,"₹1,078/month","₹12,933 / Year",96 % claim settlement ratio,47,46,45,48
Universal Sompo,A Plus Diamond,20,₹10 Lac,"₹1,265/month","₹15,175 / Year",96 % claim settlement ratio,41,40,39,42
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹10 Lac,"₹1,362/month","₹16,343 / Year",96 % claim settlement ratio,42,41,40,43
Universal Sompo,Complete HealthCare Insurance - Plus,20,₹15 Lac,"₹1,553/month","₹18,632 / Year",96 % claim settlement ratio,60,59,58,61
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹10 Lac,"₹1,222/month","₹14,667 / Year",96 % claim settlement ratio,61,60,59,62
Universal Sompo,A Plus Silver + Non medical items,20,₹10 Lac,"₹1,075/month","₹12,897 / Year",96 % claim settlement ratio,83,82,81,84
Universal Sompo,A Plus Gold + Non medical items,20,₹10 Lac,"₹1,125/month","₹13,499 / Year",96 % claim settlement ratio,84,83,82,85
Universal Sompo,A Plus Diamond + Non medical items,20,₹10 Lac,"₹1,312/month","₹15,741 / Year",96 % claim settlement ratio,81,80,79,82
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹10 Lac,"₹1,266/month","₹15,187 / Year",96 % claim settlement ratio,82,81,80,83
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹10 Lac,"₹1,316/month","₹15,788 / Year",96 % claim settlement ratio,83,82,81,84
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹10 Lac,"₹1,503/month","₹18,030 / Year",96 % claim settlement ratio,89,88,87,90
IFFCO Tokio,Individual Health Protector,12,₹10 Lac,"₹1,172/month","₹14,066 / Year",98.90 % claim settlement ratio,83,82,81,84
Digit Insurance,Double Wallet Plan,10,₹10 Lac,₹977/month,"₹11,729 / Year",96 % claim settlement ratio,51,50,49,52
Digit Insurance,Infinity Wallet Plan,10,₹10 Lac,"₹1,171/month","₹14,054 / Year",96 % claim settlement ratio,59,58,57,60
Digit Insurance,Worldwide Treatment plan,10,₹10 Lac,"₹1,269/month","₹15,233 / Year",96 % claim settlement ratio,54,53,52,55
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹10 Lac,₹873/month,"₹10,475 / Year",90 % claim settlement ratio,53,52,51,54
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹15 Lac,₹998/month,"₹11,970 / Year",93 % claim settlement ratio,31,30,29,32
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹15 Lac,"₹1,028/month","₹3,084 for 3 months",93 % claim settlement ratio,36,35,34,37
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio,38,37,36,39
Care Health,Care with Care Shield,15,₹15 Lac,"₹1,812/month","₹21,745 / Year",93 % claim settlement ratio,65,64,63,66
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio,42,41,40,43
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio,48,47,46,49
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio,41,40,39,42
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio,42,41,40,43
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio,43,42,41,44
Star Health,Young Star Silver,16,₹15 Lac,₹990/month,"₹11,880 / Year",85.80 % claim settlement ratio,89,88,87,90
Star Health,Young Star Gold,16,₹15 Lac,"₹1,102/month","₹13,223 / Year",85.80 % claim settlement ratio,62,61,60,63
Star Health,Assure Insurance Policy,16,₹15 Lac,"₹1,167/month","₹14,008 / Year",85.80 % claim settlement ratio,63,62,61,64
Star Health,Comprehensive Individual,16,₹15 Lac,"₹1,404/month","₹16,845 / Year",85.80 % claim settlement ratio,81,80,79,82
Star Health,Mediclassic Individual Gold,16,₹15 Lac,"₹1,379/month","₹16,550 / Year",85.80 % claim settlement ratio,69,68,67,70
Star Health,Mediclassic Individual Silver,16,₹15 Lac,"₹1,289/month","₹15,468 / Year",85.80 % claim settlement ratio,55,54,53,56
Star Health,Comprehensive with PED Buy Back,16,₹15 Lac,"₹1,825/month","₹21,898 / Year",85.80 % claim settlement ratio,52,51,50,53
Star Health,Smart Health Pro,16,₹15 Lac,₹920/month,"₹11,043 / Year",85.80 % claim settlement ratio,59,58,57,60
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹15 Lac,"₹1,361/month","₹16,326 / Year",92 % claim settlement ratio,97,96,95,98
Niva Bupa,Health Companion,16,₹15 Lac,"₹1,112/month","₹13,348 / Year",92 % claim settlement ratio,64,63,62,65
Niva Bupa,Health Companion + Safeguard,16,₹15 Lac,"₹1,196/month","₹14,349 / Year",92 % claim settlement ratio,62,61,60,63
Niva Bupa,Health Premia Gold,16,₹15 Lac,"₹2,067/month","₹24,801 / Year",92 % claim settlement ratio,63,62,61,64
Aditya Birla,Activ One Max,14,₹15 Lac,₹986/month,"₹11,828 / Year",96 % claim settlement ratio,69,68,67,70
Aditya Birla,Active Health Platinum - Enhanced,14,₹15 Lac,"₹1,084/month","₹13,012 / Year",96 % claim settlement ratio,30,29,28,31
ICICI Lombard,Elevate + BeFit,12,₹15 Lac,"₹1,021/month","₹12,249 / Year",99.80 % claim settlement ratio,100,99,98,100
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹15 Lac,"₹1,289/month","₹15,469 / Year",99.80 % claim settlement ratio,80,79,78,81
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹15 Lac,"₹1,289/month","₹15,469 / Year",99.80 % claim settlement ratio,87,86,85,88
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹15 Lac,"₹1,320/month","₹15,840 / Year",99.80 % claim settlement ratio,67,66,65,68
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹15 Lac,"₹1,320/month","₹15,840 / Year",99.80 % claim settlement ratio,66,65,64,67
Reliance,Health Gain Power,15,₹15 Lac,₹941/month,"₹11,286 / Year",99.90 % claim settlement ratio,89,88,87,90
Reliance,Health Gain Prime,15,₹25 Lac,"₹1,163/month","₹13,952 / Year",99.90 % claim settlement ratio,65,64,63,66
Reliance,Health Infinity With More Time,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio,56,55,54,57
Reliance,Health Infinity With More Global,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio,77,76,75,78
Reliance,Health Infinity With More Cover,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio,45,44,43,46
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹2,106/month","₹25,277 / Year",93.4 % claim settlement ratio,78,77,76,79
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹1,212/month","₹14,545 / Year",93.4 % claim settlement ratio,72,71,70,73
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹1,229/month","₹14,747 / Year",93.4 % claim settlement ratio,96,95,94,97
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹1,206/month","₹14,477 / Year",93.4 % claim settlement ratio,58,57,56,59
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹2,090/month","₹25,075 / Year",93.4 % claim settlement ratio,40,39,38,41
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹2,084/month","₹25,008 / Year",93.4 % claim settlement ratio,63,62,61,64
Cholamandalam MS,Flexi Health Supreme Plus,16,₹15 Lac,"₹1,292/month","₹15,498 / Year",94 % claim settlement ratio,91,90,89,92
Kotak Mahindra,Kotak Health Premier – Total,16,₹15 Lac,₹991/month,"₹11,887 / Year",97 % claim settlement ratio,99,98,97,100
Kotak Mahindra,Kotak Health Premier – Edge,16,₹15 Lac,"₹1,096/month","₹13,149 / Year",97 % claim settlement ratio,35,34,33,36
Kotak Mahindra,Kotak Health Premier – Elite,16,₹15 Lac,"₹1,234/month","₹14,810 / Year",97 % claim settlement ratio,100,99,98,100
New India Assurance,New India Mediclaim 2012,16,₹15 Lac,"₹1,559/month","₹18,702 / Year",98 % claim settlement ratio,94,93,92,95
Royal Sundaram,Lifeline Supreme,15,₹15 Lac,"₹1,104/month","₹13,247 / Year",92 % claim settlement ratio,83,82,81,84
Royal Sundaram,Lifeline Elite,15,₹25 Lac,"₹3,301/month","₹39,617 / Year",92 % claim settlement ratio,92,91,90,93
Zuno,Zuno Gold + Health 241,10,₹15 Lac,"₹1,696/month","₹20,354 / Year",95 % claim settlement ratio,82,81,80,83
Universal Sompo,A Plus Silver,20,₹15 Lac,"₹1,353/month","₹16,237 / Year",96 % claim settlement ratio,91,90,89,92
Universal Sompo,A Plus Gold,20,₹15 Lac,"₹1,410/month","₹16,921 / Year",96 % claim settlement ratio,70,69,68,71
Universal Sompo,A Plus Diamond,20,₹15 Lac,"₹1,621/month","₹19,446 / Year",96 % claim settlement ratio,74,73,72,75
Universal Sompo,Complete HealthCare Insurance - Plus,20,₹15 Lac,"₹1,553/month","₹18,632 / Year",96 % claim settlement ratio,79,78,77,80
Universal Sompo,Complete HealthCare Insurance - Premier,20,₹25 Lac,"₹1,727/month","₹20,721 / Year",96 % claim settlement ratio,74,73,72,75
Universal Sompo,A Plus Silver + Non medical items,20,₹15 Lac,"₹1,404/month","₹16,850 / Year",96 % claim settlement ratio,76,75,74,77
Universal Sompo,A Plus Gold + Non medical items,20,₹15 Lac,"₹1,461/month","₹17,535 / Year",96 % claim settlement ratio,77,76,75,78
Universal Sompo,A Plus Diamond + Non medical items,20,₹15 Lac,"₹1,672/month","₹20,060 / Year",96 % claim settlement ratio,80,79,78,81
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹15 Lac,"₹1,614/month","₹19,364 / Year",96 % claim settlement ratio,72,71,70,73
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹15 Lac,"₹1,671/month","₹20,048 / Year",96 % claim settlement ratio,54,53,52,55
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹15 Lac,"₹1,881/month","₹22,573 / Year",96 % claim settlement ratio,59,58,57,60
IFFCO Tokio,Individual Health Protector,12,₹15 Lac,"₹1,339/month","₹16,072 / Year",98.90 % claim settlement ratio,61,60,59,62
Digit Insurance,Double Wallet Plan,10,₹15 Lac,"₹1,059/month","₹12,707 / Year",96 % claim settlement ratio,64,63,62,65
Digit Insurance,Infinity Wallet Plan,10,₹15 Lac,"₹1,269/month","₹15,226 / Year",96 % claim settlement ratio,100,99,98,100
Digit Insurance,Worldwide Treatment plan,10,₹15 Lac,"₹1,450/month","₹17,403 / Year",96 % claim settlement ratio,97,96,95,98
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹15 Lac,"₹1,135/month","₹13,617 / Year",90 % claim settlement ratio,99,98,97,100
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,170/month","₹14,044 / Year",93 % claim settlement ratio,39,38,37,40
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,206/month","₹3,618 for 3 months",93 % claim settlement ratio,54,53,52,55
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio,76,75,74,77
Care Health,Care with Care Shield,15,₹20 Lac,"₹1,872/month","₹22,461 / Year",93 % claim settlement ratio,50,49,48,51
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio,66,65,64,67
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio,39,38,37,40
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio,38,37,36,39
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio,74,73,72,75
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio,47,46,45,48
Star Health,Young Star Silver,16,₹20 Lac,"₹1,131/month","₹13,570 / Year",85.80 % claim settlement ratio,58,57,56,59
Star Health,Young Star Gold,16,₹20 Lac,"₹1,243/month","₹14,913 / Year",85.80 % claim settlement ratio,85,84,83,86
Star Health,Assure Insurance Policy,16,₹20 Lac,"₹1,306/month","₹15,676 / Year",85.80 % claim settlement ratio,69,68,67,70
Star Health,Comprehensive Individual,16,₹20 Lac,"₹1,588/month","₹19,057 / Year",85.80 % claim settlement ratio,96,95,94,97
Star Health,Mediclassic Individual Gold,16,₹20 Lac,"₹1,586/month","₹19,034 / Year",85.80 % claim settlement ratio,84,83,82,85
Star Health,Comprehensive with PED Buy Back,16,₹20 Lac,"₹2,065/month","₹24,774 / Year",85.80 % claim settlement ratio,60,59,58,61
Star Health,Smart Health Pro,16,₹20 Lac,"₹1,037/month","₹12,448 / Year",85.80 % claim settlement ratio,66,65,64,67
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹20 Lac,"₹1,458/month","₹17,490 / Year",92 % claim settlement ratio,45,44,43,46
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹20 Lac,"₹1,492/month","₹17,907 / Year",92 % claim settlement ratio,33,32,31,34
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹20 Lac,"₹1,347/month","₹16,168 / Year",92 % claim settlement ratio,44,43,42,45
Niva Bupa,Aspire Gold + (Direct),16,₹20 Lac,"₹1,030/month","₹12,359 / Year",92 % claim settlement ratio,46,45,44,47
Niva Bupa,Aspire Diamond + (Direct),16,₹20 Lac,"₹1,177/month","₹14,126 / Year",92 % claim settlement ratio,49,48,47,50
Niva Bupa,Aspire Platinum + (Direct),16,₹20 Lac,"₹1,328/month","₹15,941 / Year",92 % claim settlement ratio,45,44,43,46
Niva Bupa,Aspire Titanium + (Direct),16,₹20 Lac,"₹1,336/month","₹16,037 / Year",92 % claim settlement ratio,47,46,45,48
